name,bio,photo_path,role
"Igor Gontarz, PhD","Igor Gontarz is a lecturer at the Adam Mickiewicz University in Poznań. His scientific research focuses on the right to information and the automation of public administration. Member of research projects devoted to digitalisation of judiciary, algorithms, and criminal procedure.",data/raw/images/Igor_Gontarz_PhD.jpg,Faculty
Paulina Klisowska,Paulina Klisowska is a graduate at the Faculty of Law and Administration (of AMU). She holds a Master’s degree in European Law and is a fifth year Law student. She has carried out research on the protection of minor users of social media and was a speaker at the webinar organized under the Jean Monnet Chair Digital Single Market and the Free Flow of Information (dig_INFlow). Her academic interests are focused on the functioning of the artificial intelligence algorithms and their impact on privacy and personal data protection.,data/raw/images/Paulina_Klisowska.jpg,Faculty
Krzysztof Jeromin,"Krzysztof Jeromin is a graduate student in European Law and currently a student of Business Management and Law at at the Adam Mickiewicz University. He led an individual research project on access to encrypted data in information exchange services which resulted in a post published on Medium as part of the Free FLow series created under the aegis of the Jean Monnet Dig_INFlow Chair, and active participation in the “LAITECH2024 Student Conference The Law, Ethics and Policies of AI and Future Technologies” organized by ILSA TalTech in Estonia. His research interests focus on the impact of new technologies on fundamental rights. He participated in and helped organize the previous edition of SICSS-AMU/Law 2024, which allowed him to fall in love with the idea of SICSS.",data/raw/images/Krzysztof_Jeromin.jpg,Faculty
Weronika Łomako,"Weronika Łomako is a first-year student of the Master's degree in Business Management and Law at Adam Mickiewicz University in Poznań. Her academic interests are mainly in consumer protection of online platforms, distance contracts and compliance. She is interested in the use of AI in everyday life and research.",data/raw/images/Weronika_Łomako.jpg,Faculty
"Łukasz Szoszkiewicz, PhD","Lukasz Szoszkiewicz is an Assistant Professor at Adam Mickiewicz University, Data Coordinator within the UN Global Study on Children Deprived of Liberty. A former participant of SICSS-Law 2021 (Maastricht University) and SICSS-AMU/Law organizer in 2022. His research interests include international protection of human rights and data science. Knows basics of Python and has advanced knowledge of SPSS.",data/raw/images/Łukasz_Szoszkiewicz_PhD.jpg,Faculty
Anna Przybylska,Anna Przybylska is a fourth-year Law student at the Faculty of Law and Administration at Adam Mickiewicz University in Poznań. She holds a Master’s degree in Management and Business Law as well as a Bachelor’s degree in European Law. Her academic interests are focused on the application of artificial intelligence in political marketing and its impact on the state of modern democracy.,data/raw/images/Anna_Przybylska.jpg,Faculty
Zuzanna Duszyńska,"Zuzanna Duszyńska is a Master's student in Management and Business Law at Adam Mickiewicz University in Poznań and a graduate of European Law at the same institution. Her academic interests and research focus on American law, management in the IT sector, and cybersecurity regulations.",data/raw/images/Zuzanna_Duszyńska.jpg,Faculty
Wojciech Biernacki,"Wojciech Biernacki is an extramural PhD researcher and cooperator at the European Law Chair at the Faculty of Law and Administration at the Adam Mickiewicz University in Poznań, and an attorney’s assistant. In his research, he focuses on intellectual property rights, mostly copyright, and issues related to data processing and data ownership. He is familiar with the basics of Python, PHP, and MySQL databases.",data/raw/images/Wojciech_Biernacki.jpg,Faculty
David Reichel,"Dr. David Reichel is the Head of the Data and Digital Sector at the European Union Agency for Fundamental Rights (FRA). The Data and Digital Sector, within the Justice, Digital and Migration Unit, hosts most of FRA’s work on artificial intelligence (AI), data protection and online content moderation. David coordinated and co-authored several FRA reports on AI, including the reports on AI and fundamental rights, Getting the future right and Bias in algorithms, as well as on Online content moderation.  Prior to joining FRA in 2014, he worked for the research department of the International Centre for Migration Policy Development (ICMPD). He has been teaching for several years at the University of Vienna and other universities. He has published numerous articles, working papers and book chapters on issues related to migration statistics, citizenship and human rights.",data/raw/images/David_Reichel.jpg,Speakers
Łucja Biel,"Professor Biel is an Associate Professor at the Institute of Applied Linguistics, University of Warsaw, where she leads the EUMultilingua Research Team. She is a renowned expert in corpus linguistics, legal translation, and specialized translation, with a strong focus on EU legal language and terminology. Her research explores the intersection of law and linguistics, contributing to a deeper understanding of how legal texts are translated and interpreted across different jurisdictions. Beyond her academic work, Professor Biel is actively involved in shaping the field through editorial roles. She is the Editor-in-Chief of ""The Journal of Specialised Translation"" and serves on the Editorial Board of ""Translation & Interpreting Studies for Open Science"". Her contributions have significantly influenced both research and practice in legal translation.",data/raw/images/Łucja_Biel.jpg,Speakers
