name,bio,photo_path,role,date,location
Matthew Salganik,"Matthew Salganik is Professor of Sociology at Princeton University, and he is affiliated with several of Princeton's interdisciplinary research centers: the Office of Population Research, the Center for Information Technology Policy, the Center for Health and Wellbeing, and the Center for Statistics and Machine Learning. His research interests include social networks and computational social science. He is the author of the forthcoming book *Bit by Bit: Social Research in the Digital Age.*",,Faculty,"June 18, 2017 - July 1, 2017",Princeton University
Chris Bail,"Chris Bail is the Douglas and Ellen Lowey Associate Professor of Sociology and Public Policy at Duke University and a member of the Interdisciplinary Program on Data Science, the Duke Network Analysis Center, and the Duke Population Research Institute. His research examines how non-profit organiations and other political actors shape social media discourse using large text-based datasets and apps for social science research. He is the author of *Terrified: How Anti-Muslim Fringe Organizations Became Mainstream*.",,Faculty,"June 18, 2017 - July 1, 2017",Princeton University
Sandra Gonzalez-Baillon,"Sandra González-Bailón is an Assistant Professor at the Annenberg School for Communication, and affiliated faculty at the Warren Center for Network and Data Sciences. Prior to joining Penn, she was a Research Fellow at the Oxford Internet Institute, where she is now a Research Associate. Her research lies at the intersection of network science, data mining, computational tools, and political communication. She leads the research group DiMeNet (Digital Media, Networks, and Political Communication).",,Speakers,"June 18, 2017 - July 1, 2017",Princeton University
Deborah Estrin,"Deborah Estrin is Associate Dean and Professor of Computer Science at Cornell Tech in New York City and a Professor of Public Health at Weill Cornell Medical College. She is founder of the Health Tech Hub and directs the Small Data Lab at Cornell Tech, which develops new personal data APIs and applications for individuals to harvest the small data traces they generate daily. Estrin is also co-founder of the non-profit startup, Open mHealth.",,Speakers,"June 18, 2017 - July 1, 2017",Princeton University
Gary King,"Gary King is the Albert J. Weatherhead III University Professor at Harvard University, based in the Department of Government (in the Faculty of Arts and Sciences). He also serves as Director of the Institute for Quantitative Social Science. King and his research group develop and apply empirical methods in many areas of social science research, focusing on innovations that span the range from statistical theory to practical application.",,Speakers,"June 18, 2017 - July 1, 2017",Princeton University
Michael Macy,"Michael Macy is the Goldwin Smith Professor of Arts and Sciences in Sociology and Director of the Social Dynamics Laboratory at Cornell. With support from the National Science Foundation, the Department of Defense, and Google, his research team has used computational models, online laboratory experiments, and digital traces of device-mediated interaction to explore a variety of familiar but enigmatic social patterns such as critical mass and mobilization, network-based contagion, and political polarization.",,Speakers,"June 18, 2017 - July 1, 2017",Princeton University
Winter Mason,"Winter Mason is a Data Scientist at Facebook. He studies social networks, social media, crowdsourcing, and group dynamics. His research combines traditional psychological methods such as lab experiments with new methods such as online data collection with crowdsourcing and machine learning. His research has appeared in the Proceedings of the National Academy of Sciences and the Journal of Personality and Social Psychology, among other leading journals. He received his PhD in Social Psychology and Cognitive Science from Indiana University in 2007.",,Speakers,"June 18, 2017 - July 1, 2017",Princeton University
Markus Mobius,"Markus Mobius is a Principal Researcher at Microsoft Research who studies the economics of social networks. He builds models of learning, coordination, and cooperation within social networks, with a particular focus on trust. His research employs lab and field experiments to study social networks in real settings.  His work has been funded by the National Science Foundation and the Sloan Foundation, and published in leading journals such as the American Economic Review and the Quarterly Journal of Economics. He completed his PhD in economics from the Massachusetts Institute of Technology in 2000.",,Speakers,"June 18, 2017 - July 1, 2017",Princeton University
Brandon Stewart,"Brandon Stewart is Assistant Professor of Sociology at Princeton University where he is also affiliated with the Politics Department, the Office of Population Research,  the Princeton Institute for Computational Science and Engineering, and the Center for the Digital Humanities.  His work develops new quantitative statistical methods for applications across computational social science.  He completed his PhD in Government at Harvard in 2015. His work develops new tools for automated text analysis.",,Speakers,"June 18, 2017 - July 1, 2017",Princeton University
Taylor Brown,"Taylor Brown is a doctoral student in the Duke Sociology department, and is associated with the Duke Network Analysis Center. She has a general fascination with computational methods and the issues that arise with social media and other found data. She holds an MA in sociology from UNC-Chapel Hill and an MSc in evidence-based social intervention from the University of Oxford. Prior to beginning her PhD, Taylor worked on issues of intercountry adoption abuse and for a non-profit in Ghana. She also fulfilled an appointment at the National Science Foundation in the division of Social and Economic Sciences.",,Teaching Assistants,"June 18, 2017 - July 1, 2017",Princeton University
