name,bio,photo_path,role,date,location
Brian Keegan,"Brian C. Keegan is a computational social scientist whose research is at the intersection of human-computer interaction, network science and data science. His research explores the structure and dynamics of large-scale online communication and collaboration using socio-technical system log data. Brian is developing new methods, theories and tools to help people make better sense of bursts of information and design better responses to them. Before joining CU-Boulder as an Assistant Professor, Keegan was a research associate at the Harvard Business School’s HBX online learning platform and a postdoctoral researcher in computational social science at Northeastern University. He received his PhD in media, technology and society from Northwestern University’s School of Communication. He also earned SB degrees in Mechanical Engineering and Science, Technology and Society from the Massachusetts Institute of Technology.",,Faculty,"August 13, 2018 - August 17, 2018",
Allison Morgan,"Allison Morgan is pursuing her Ph.D. in computer science at the University of Colorado, Boulder. She is interested in using data mining, machine learning, and social network analysis to develop and test hypotheses about the origins and effects of gender imbalance within academia. She attended last year's SICSS and is excited to build a computational social science community at CU Boulder via this satellite. She was recently awarded the National Science Foundation's Graduate Research Fellowship. Prior to graduate school, Allison worked as a data scientist for two years at a small tech start-up in Portland, OR. She earned her B.A. in physics from Reed College.",,Faculty,"August 13, 2018 - August 17, 2018",
Aaron Clauset,"Aaron Clauset is an Assistant Professor in the Department of Computer Science and the BioFrontiers Institute at the University of Colorado Boulder, and is External Faculty at the Santa Fe Institute. He received a PhD in Computer Science, with distinction, from the University of New Mexico, a BS in Physics, with honors, from Haverford College, and was an Omidyar Fellow at the prestigious Santa Fe Institute. In 2016, he was awarded the Erdos-Renyi Prize in Network Science. Clauset is an internationally recognized expert on network science, computational social science, and machine learning for complex systems. His work has appeared in many prestigious scientific venues, including Nature, Science, PNAS, JACM, WWW, ICWSM, STOC, SIAM Review, and Physical Review Letters. His work has also been covered in the popular press by the Wall Street Journal, The Economist, Discover Magazine, New Scientist, Wired, Miller-McCune, the Boston Globe and The Guardian.",,Speakers,"August 13, 2018 - August 17, 2018",
Casey Fiesler,"Assistant Professor Casey Fiesler is a social computing researcher who primarily studies governance in online communities, technology ethics, and fandom.  She is a Senior Fellow in the Silicon Flatirons Institute for Law, Technology, and Entrepreneurship, an ATLAS fellow, and holds a courtesy appointment in Computer Science. Also a public scholar, she is a frequent commentator and speaker on topics of technology ethics and policy, as well as women in STEM (including consulting with Mattel on their computing-related Barbies). Her work is supported in part by a $3 million collaborative National Science Foundation grant focused on empirical studies of research ethics. Fiesler holds a PhD from Georgia Tech in Human-Centered Computing and a JD from Vanderbilt University Law School.",,Speakers,"August 13, 2018 - August 17, 2018",
Jake Hofman,"Jake Hofman is a Senior Researcher at Microsoft Research in New York City, where he works in the field of computational social science. Prior to joining Microsoft, he was a Research Scientist in the Microeconomics and Social Systems group at Yahoo! Research. He holds a B.S. in Electrical Engineering from Boston University and a Ph.D. in Physics from Columbia University. He is an Adjunct Assistant Professor of Applied Mathematics and Computer Science at Columbia University and runs Microsoft's Data Science Summer School to promote diversity in computer science. His work has been published in journals such as Science, Proceedings of the National Academy of Sciences, and Management Science, and has been featured in popular outlets including The New York Times, The Wall Street Journal, The Financial Times, and The Economist.",,Speakers,"August 13, 2018 - August 17, 2018",
Daniel Larremore,"Daniel Larremore is an Assistant Professor in the Department of Computer Science and the BioFrontiers Institute at the University of Colorado at Boulder. His research develops statistical and inferential methods for analyzing large-scale network data, and uses those methods to solve applied problems in diverse domains, including public health and academic labor markets. In particular, his work focuses on generative models for networks, the ongoing evolution of the malaria parasite and the origins of social inequalities in academic hiring and careers.  Prior to joining the University of Colorado faculty, he was an Omidyar Fellow at the Santa Fe Institute 2015-2017 and a post-doctoral fellow at the Harvard T.H. Chan School of Public Health 2012-2015. He obtained his Ph.D. in Applied Mathematics from the University of Colorado at Boulder in 2012, and holds an undergraduate degree from Washington University in St. Louis.",,Speakers,"August 13, 2018 - August 17, 2018",
Yotam Shmargad,"Yotam Shmargad is a computational social scientist with an interest in political networks and privacy. In his research, he runs experiments, links and analyzes large datasets, and uses natural experiments to study how digital media augment the patterns of connectivity between people – the size, density, and diversity of our social networks - and the implications that these bigger networks have for our social and political lives. Shmargad’s recent projects look at how political candidates can overcome financial shortcomings with Twitter, and how the partisan composition of one’s social network influences the information they choose to share online. Before joining the University of Arizona as an Assistant Professor, Shmargad received his PhD in Marketing from Northwestern University’s Kellogg School of Management. He holds an MS in Operations Management from Columbia University and a BS in Mathematics from UCLA.",,Speakers,"August 13, 2018 - August 17, 2018",
Amanda Stevenson,"Amanda Jean Stevenson is a sociologist trained in demographic and computer science methods. She studies the impacts of and responses to abortion and family planning policy. She is an Assistant Professor of Sociology at the University of Colorado Boulder. In her current research, she uses demographic methods to study the impacts of reproductive health policies, and computational and qualitative methods to study social responses to these policies. At Boulder she leads a team using massive administrative data at the Census Bureau to evaluate the life course consequences of access to (as opposed to use of) highly effective contraception. And she contributes to a variety of ongoing evaluations of reproductive health policies and develops new strategies for measuring fertility with administrative data. Another line of research examines the social responses to reproductive health policies. In a current project, she uses Twitter responses, website content, media coverage, and in-depth interviews to examine the social movement response to Texas' 2013 abortion restrictions. The case provides an opportunity to investigate how social movements negotiate intersectional critiques from within their ranks.",,Speakers,"August 13, 2018 - August 17, 2018",
Chenhao Tan,"Chenhao Tan is an assistant professor of computer science at University of Colorado Boulder. He obtained his PhD degree in the Department of Computer Science at Cornell University and bachelor's degrees in computer science and in economics from Tsinghua University. Prior to joining CU Boulder, he spent a year at University of Washington as a postdoc. His research interests include natural language processing and computational social science. He has published papers primarily at ACL and WWW, and also at KDD, WSDM, ICWSM, etc. His work has been covered by many news media outlets, such as the New York Times and the Washington Post. He also won a Facebook fellowship and a Yahoo! Key Scientific Challenges award.",,Speakers,"August 13, 2018 - August 17, 2018",
Zachary Cooper,"I am a first year PhD student in Anthropology specializing in Archaeology here at the University of Colorado, Boulder. My advisor is Dr. Scott Ortman and my research interests include ancient migrations, diachronic linguistics, complex systems, and urban scaling.",,Participants,"August 13, 2018 - August 17, 2018",
