name,bio,photo_path,role,date,location
Kat Albrecht,"Kat Albrecht is pursuing a PhD in Sociology at Northwestern University. Her research focuses on investigating how the structure of data shapes research conclusions and broader sociological theory. Using machine learning methods, quantitative causal inference, and mapping techniques she primarily builds and analyzes large criminal justice datasets. She is especially concerned with the economics of fear, the working definition of homicide, and the general state of crime data. She received her bachelor’s degree from the University of Minnesota where she first began exploring the junction of computational methods and the social sciences.",,Faculty,"June 17, 2018 - June 30, 2018",University of Chicago
Joshua Becker,"Joshua Becker defended his PhD at the University of Pennsylvania and will be starting as a postdoctoral fellow with the Kellogg School of Management and the Northwestern Institute of Complex Systems.  His research on collective intelligence uses formal models and experimental tests to examine how social network structure shapes group decisions. His current research focuses on how communication networks can be harnessed to tap the wisdom of crowds and improve estimation accuracy on tasks such as financial forecasting, political beliefs, and medical diagnoses.",,Faculty,"June 17, 2018 - June 30, 2018",University of Chicago
Jeremy Foote,"Jeremy Foote is a PhD candidate in the Media, Technology, and Society program at Northwestern. He is a member of the [Community Data Science Collective](https://communitydata.cc).  Using computational social science tools like social network analysis and simulation, he researches how people cooperate to create online collective goods, focusing particularly on how new projects get started and which ones grow.",,Faculty,"June 17, 2018 - June 30, 2018",University of Chicago
Live Stream,"Matt Salganik, Chris Bail, Deen Freelon, David Lazer, Kristian Lum, Sendhil Mullainathan, Cynthia Rudin, and Duncan Watts.",,Speakers,"June 17, 2018 - June 30, 2018",University of Chicago
Ned Smith,"Ned Smith is an Associate Professor of Management and Organizations at the Kellogg School of Management, Associate Professor (by courtesy) of Sociology, core faculty member of the Northwestern Institute for Complexity (NICO), and faculty associate at the Northwestern Institute for Policy Research.",,Speakers,"June 17, 2018 - June 30, 2018",University of Chicago
Sheena Erete,"Sheena is an assistant professor in the College of Computing and Digital Media at DePaul University in Chicago, IL. Sheena co-directs the Technology for Social Good | Research and Design Lab with Dr. Denise Nacu.",,Speakers,"June 17, 2018 - June 30, 2018",University of Chicago
Agnes Horvat,"Ágnes Horvát is an Assistant Professor in the Department of Communication Studies, an affiliated faculty of the Northwestern Institute on Complex Systems (NICO), and the Department of Management and Organizations of the Kellogg School of Management (by courtesy).",,Speakers,"June 17, 2018 - June 30, 2018",University of Chicago
Alex Engler,"Alex is the Program Director and a Lecturer for the M.S. in Computational Analysis and Public Policy degree at the University of Chicago. In addition to teaching courses on Data Visualization and Large Scale Data Methods for policy research, he is a contributing Data Scientist at the Urban Institute.",,Speakers,"June 17, 2018 - June 30, 2018",University of Chicago
Rayid Ghani,Rayid Ghani is the Director of the Center for Data Science & Public Policy and a Senior Fellow at the University of Chicago Harris School of Public Policy and the Computation Institute.,,Speakers,"June 17, 2018 - June 30, 2018",University of Chicago
Diego Gómez-Zará,"Diego Gómez-Zará is a Ph.D. Student in the Technology and Social Behavior program at Northwestern University. He is a graduate research assistant of the SONIC Lab. He researches how team assembly is supported by technologies, diffusion of information through social media, and social network analysis.",,Teaching Assistants,"June 17, 2018 - June 30, 2018",University of Chicago
Anna McKean,"Anna McKean is a joint PhD student in Management & Organizations and Sociology.  Her research interests include social movements, organizational change and influence, and non-market strategy. Currently, her research focuses on how corporations respond to, participate in, and influence social and political activism and policy change.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Basak Taraktas,"Basak is a Postdoctoral Fellow at Northwestern University. She received her Ph.D. in Political Science from the University of Pennsylvania in 2016. Her research centers on collective action and conflict. Much of her work is set in the context of regimes, contentious politics, and international economy, where she combines computational methods, network analysis, and qualitative methods. Basak’s co-authored chapter, When Does Repression Trigger Mass Protest?, was acknowledged by Cornell University with the 2015 Sidney Tarrow Best Article Prize for a paper written by a graduate student in the field of contentious politics or in European politics, sociology or history.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Daniel Trielli,"Daniel Trielli​ is a PhD student at the Media, Technology and Society program at Northwestern. He is researching computational journalism and how news reaches the public in our increasingly algorithmically-defined world.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Dustin Stoltz,"Dustin Stoltz is a PhD candidate in sociology at the University of Notre Dame and a Doctoral Affiliate with the Kellogg Institute for International Studies. He researches the production, distribution, consumption, and consequences of ideas, specifically ideas about the economy. As part of his dissertation, he applies network analysis and text analysis to a unique dataset of management consultants working in North America and Southeast Asia and the numerous articles they write.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Elizabeth Trudeau,Libby Trudeau earned her MA from the University of Chicago and is currently working on a PhD in sociology at the University of Notre Dame. Her research focusses on cultural meaning-making particularly around the social construction of gender and sexuality. Her current projects focus on discourses regarding sex work and human trafficking in the U.S. She is excited about using mixed- methods techniques to gain creative insights.,,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
Hanlin Li,"Hanlin Li is a Ph.D. student in the Technology and Social Behavior program at Northwestern University. She is a member of the People, Space, and Algorithms Research Group. She studies how individuals and organizations use technology to support social causes. Taking mixed methods approaches, she designs, builds, and tests civic technologies that empower collective action online.",,Participants,"June 17, 2018 - June 30, 2018",University of Chicago
