name,bio,photo_path,role,date,location
Matthew Salganik,"Matthew Salganik is Professor of Sociology at Princeton University, and he is affiliated with several of Princeton's interdisciplinary research centers: the Office of Population Research, the Center for Information Technology Policy, the Center for Health and Wellbeing, and the Center for Statistics and Machine Learning. His research interests include social networks and computational social science. He is the author of the forthcoming book *Bit by Bit: Social Research in the Digital Age.*",,Faculty,"June 17, 2018 - June 30, 2018",Duke University
Chris Bail,"Chris Bail is the Douglas and Ellen Lowey Associate Professor of Sociology and Public Policy at Duke University and a member of the Interdisciplinary Program on Data Science, the Duke Network Analysis Center, and the Duke Population Research Institute. His research examines how non-profit organiations and other political actors shape social media discourse using large text-based datasets and apps for social science research. He is the author of *Terrified: How Anti-Muslim Fringe Organizations Became Mainstream*.",,Faculty,"June 17, 2018 - June 30, 2018",Duke University
Deen Freelon,"Deen Freelon is an Associate Professor in the School of Media and Journalism at the University of North Carolina at Chapel Hill, and directs the Computational Communication Research Lab.",,Speakers,"June 17, 2018 - June 30, 2018",Duke University
Kieran Healy,"Kieran Healy is Associate Professor of Sociology at Duke University. He's affiliated with the Kenan Institute for Ethics, the Markets and Management Studies program, and the Duke Network Analysis Center.",,Speakers,"June 17, 2018 - June 30, 2018",Duke University
David Lazer,"David Lazer is Professor of Political Science and Computer and Information Science, Northeastern University & Harvard University.",,Speakers,"June 17, 2018 - June 30, 2018",Duke University
Monica Lee,Monica Lee is a Data Scientist at Facebook who works on Civic Engagement and Election Integrity. Her research leverages social network analysis and machine learning to combat election related social media abuse and to develop tools for civic empowerment.,,Speakers,"June 17, 2018 - June 30, 2018",Duke University
Kristian Lum,"Kristian Lum is the Lead Statistician at the Human Rights Data Analysis Group (HRDAG), where she leads the HRDAG project on criminal justice in the United States.",,Speakers,"June 17, 2018 - June 30, 2018",Duke University
Sendhil Mullainathan,Sendhil Mullainathan is the Robert C. Waggoner Professor of Economics at Harvard University and the co-founder of the Abdul Latif Jameel Poverty Action Lab.,,Speakers,"June 17, 2018 - June 30, 2018",Duke University
Duncan Watts,Duncan Watts is a Principal Researcher at Microsoft Research and a founding member of the MSR-NYC lab. He is also an AD White Professor at Large at Cornell University.,,Speakers,"June 17, 2018 - June 30, 2018",Duke University
Taylor Brown,"Taylor Brown is a doctoral student in the Duke Sociology department, and is associated with the Duke Network Analysis Center. She has broad interests in computational methods and social media studies. Her dissertation explores gender inequality in creative professions. Taylor holds an MA in sociology from UNC-Chapel Hill and an MSc in evidence-based social intervention from the University of Oxford. Prior to beginning her PhD, Taylor fulfilled an appointment at the National Science Foundation in the division of Social and Economic Sciences.",,Teaching Assistants,"June 17, 2018 - June 30, 2018",Duke University
Haohan Chen,"Haohan Chen is a doctoral student in the Duke Political Science Department. He studies the formation and expression of political preferences in authoritarian regimes in the social media era. His current research uses computational models to simulate how people in authoritarian regimes strategically falsify their political preferences with different parts of their social network and how authoritarian regimes respond. He applies a combination of machine learning and causal inference methods to text data from social media sites of China to test empirical implications of his computational models. Prior to graduate school, Haohan earned a BA from the University of Hong Kong.",,Teaching Assistants,"June 17, 2018 - June 30, 2018",Duke University
Marcus Mann,"Marcus Mann is a doctoral student in the Duke Sociology department. He uses computational methods to examine politically partisan news ecologies on social media and maintains a general interest in the cultural differentiation of epistemic authorities and their corresponding audiences, communities, and social movements.",,Teaching Assistants,"June 17, 2018 - June 30, 2018",Duke University
Friedolin Merhout,"Friedolin Merhout is a doctoral student in the Duke Sociology department. He enjoys exploring how computational methods provide a new lens to view longstanding social science debates, and pondering the potential inherent in the wealth of digital trace data. Before starting the doctoral program at Duke, he earned a BA from Freie Universitaet in his hometown Berlin.",,Teaching Assistants,"June 17, 2018 - June 30, 2018",Duke University
Janet Xu,"Janet Xu is a doctoral student in the Princeton Sociology department, where she is also affiliated with the Office of Population Research. Her current research examines perceptions and portrayals of demographic diversity using experimental and computational methods. She holds a B.A. from the University of Chicago. Prior to graduate school, Janet worked at the National Opinion Research Center (NORC) as a survey researcher.",,Teaching Assistants,"June 17, 2018 - June 30, 2018",Duke University
Emily Bello-Pardo,"Emily D. Bello-Pardo is a doctoral student at American University. Her work examines the attitudinal impacts of online dis- and mis- information, online discursive incivility, and public policy shifts, and uses experimental and computational social science approaches to explore these topics in the US and Latin America. In 2017, Bello-Pardo was a Google NewsLab Fellow at Pew Research Center. Before her PhD, Bello-Pardo obtained a MA in Latin American and Caribbean Studies and dual Bachelor degrees in Political Science and International Relations from Florida International University.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Nicolò Cavalli,"Nicolò is a DPhil candidate in Sociology at Nuffield College, University of Oxford. He holds a BA in Politics from University of Bologna and a MSc in Economics from Bocconi University, Milan. Before joining Nuffield College, Nicolò worked as journalist, reporting on social issues and political movements from Italy, Greece, Catalunya, California and Peru. His Doctoral Thesis focuses on how intergroup emotional stratification emerged in Europe in times of economic recession.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Lily Fesler,"Lily Fesler is a doctoral student in economics of education at the Stanford Graduate School of Education and an Institute of Education Sciences (IES) fellow. Her research interests include student and teacher bias in higher education and barriers to college access. Methodologically, she is very interested in using text analysis to better understand student's college experiences (and started the Stanford student-led group Computational Text Analysis in the Social Sciences). Before coming to Stanford, Lily worked as an education analyst at Abt Associates and as an analyst at an economic consulting firm in Boston. She received her bachelor's degree from Wesleyan University.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Natalie Gallagher,"Natalie Gallagher is currently pursuing a PhD in psychology at Northwestern University. Her work lies at the intersection of social and cognitive research, including network cognition, social categories, and a flexible sense of self. She draws on psychological, sociological, and computational methods to pursue her questions, and is interested in how research can inform social change. Natalie received her BA in psychology and theater from Georgetown University.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Ryan J. Gallagher,"Ryan J. Gallagher is a PhD student at Northeastern University. At the Network Science Institute, he researches the dynamics of social networks using tools and theory from natural language processing and communications. He currently studies the affective phenomena of networked counterpublics. Ryan holds an MS in mathematics from the University of Vermont, where he worked with the Computational Story Lab at the Vermont Complex Systems Center, and a BA in math from the University of Connecticut.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
Douglas Guilbeault,"Douglas Guilbeault is a PhD candidate in the Network Dynamics Group at the University of Pennsylvania. His research uses formal models and online experiments to study political communication and cultural evolution. His recent work focuses on the effects of political polarization on collective intelligence. Doug is funded by a PhD scholarship from the Social Sciences and Humanities Research Council of Canada, as well as by a dissertation fellowship from the Institute for Research on Innovation and Science. He has a background in philosophy, linguistics, and cognitive science.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
David Hagmann,"David is a PhD candidate in Decision Sciences at Carnegie Mellon University and a visiting scholar at the Wharton School at the University of Pennsylvania. His interests include information avoidance, behavioral interventions (nudges), and decisions from experience. In his dissertation, David studies persuasion in the presence of motivated reasoning. While we might think that changing someone’s mind is all about exposing them to facts that support our views and challenge theirs, such an approach may be more likely to engender defensive information avoidance rather than receptive information processing.",,Participants,"June 17, 2018 - June 30, 2018",Duke University
