name,bio,photo_path,role,date,location
Adaner Usmani,"Adaner Usmani is a Postdoctoral Fellow at the Watson Institute at Brown University. He received his PhD in Sociology from NYU. His dissertation examined the rise and fall of labor movements over the 20th and early 21st centuries, and considered the effects of these facts for political change. In other work, he has written about American mass incarceration, with an eye on the racial politics of its origins and reproduction.",,Faculty,"June 18, 2018 - June 30, 2018",New York University
Siwei Cheng,"Siwei Cheng is an Assistant Professor of Sociology at New York University. Her research focuses on stratification and mobility, work and family, social networks, and quantitative methodology.",,Speakers,"June 18, 2018 - June 30, 2018",New York University
Jennifer Hill,"Jennifer Hill is a Professor of Applied Statistics and Data Science at New York University. She is the Co-Director of the Center for Practice and Research at the Inersection of Information, Society and Methodology, and Co-Director of the Masters of Science Program in Applied Statistics for Social Science Research.",,Speakers,"June 18, 2018 - June 30, 2018",New York University
Arthur Spirling,"Arthur Spirling is an Associate Professor of Politics and Data Science at New York University. He is the Deputy Director and the Director of Graduate Studies at the Center for Data Science, and Chair of the Education and Training Working Group of the Moore-Sloan Data Science Environment. He specializes in political methodology and legislative behavior, with an interest in the application of texts-as-data, Bayesian statistics, item response theory and generalized linear models in political science.",,Speakers,"June 18, 2018 - June 30, 2018",New York University
Barum Park,"Barum Park is a PhD student in the department of sociology at New York University. His research interests span fields of political sociology, social networks, and social mobility. His current research focuses political polarization and the diffusion of new ideas, formalizing the notion of social space, and detecting class boundaries by conceptualizing occupational mobility patterns as networks carrying flows of workers.",,Teaching Assistants,"June 18, 2018 - June 30, 2018",New York University
Myeong Lee,"Myeong is a Ph.D. candidate studying information science at the University of Maryland at College Park. He is a Junior Fellow at the Center for the Advanced Study of Communities and Information (CASCI), a research network in the iSchool; also, he is a Data Science & Technology Fellow at The Center for Open Data Enterprise, a non-profit that advocates for open data movements.His research interests are in understanding the dynamics of cities, local groups, and local information inequality by making use of computational methods and social theories. He also designs and implements systems that demonstrate geographically-embedded structures of information and associated issues.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Anna Skarpelis,"Anna Skarpelis is completing her PhD in Sociology at New York University and will be joining Harvard University as postdoctoral fellow in the Fall. Her dissertation, Making the Master Race, investigates racial anxiety and the consequences of ethnoracial classification practices in multi-ethnic empires (specifically 20th century Germany and Japan). She is also working on a project that leverages computational text analysis to better understand how sociologists use theoretical concepts in their own work. When she isn't translating obscure Japanese and German texts into English, she likes to read up on political philosophy, the sociology of morality and the philosophy of science. Equipped with a slightly odd sense of humor after years spent in archives researching fascists, she has performed at UCB New York and is writing her first satirical novel on David Thoreau.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Crystal Moore,"Crystal A. Moore is a doctoral student at the Stanford Graduate School of Education in the programs on education policy, organizational theory and the sociology of education. She works with Linda Darling-Hammond, Ben Domingue and Mitchell Stevens at Stanford. Crystal has an undergraduate degree in public policy from the Woodrow Wilson School of Public and International Affairs at Princeton University and a master’s degree in elementary education from the University of Pennsylvania.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Claire Cullen,"Claire Cullen is a PhD student at the University of Oxford’s Blavatnik School of Government and a consultant at the World Bank Gender Innovation Lab. Her current research in development economics focuses on understanding the role of social norms and networks in women’s economic empowerment and intimate partner violence. She uses a range of methods including randomized control trials, lab-in-the-field experiments and machine learning techniques to better understand gender discrimination and challenges in international development. Claire has a Bachelor’s degree in economics from the University of Sydney and a Master’s degree in International Development Policy from Georgetown University.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Andrew Wolf,"Andrew Wolf is a PhD Student in Sociology at the University of Wisconsin-Madison. His research interests center around issues of globalization in relation to its impact on labor markets and labor movements. In particular, he studies how labor movements and governments are responding to emerging labor market forms such as the gig economy.",,Participants,"June 18, 2018 - June 30, 2018",New York University
Elliot Stoller,"Elliot Stoller is PhD student in Organizational Behavior at Harvard. He researches government bureaucracies and socioeconomic interest groups, focusing on questions about legitimacy, power, and organizational change. He currently studies organizational dynamics involved in the regulatory rule-making process. He holds a BA from Stanford, and previously worked in energy policy for New York State and as research assistant focusing on institutional change.",,Participants,"June 18, 2018 - June 30, 2018",New York University
