name,bio,photo_path,role,date,location
Connor Gilroy,"Connor Gilroy is pursuing a PhD in sociology at the University of Washington. His research focuses on processes of community formation and change, and social visibility and acceptance of marginalized groups. In his research projects on gay neighborhoods and LGBTQ populations, he combines web and social media data with established data sources such as the US Census to investigate trajectories of neighborhood change, variations in prevalence of LGBTQ identity, and the micro-processes underlying changes in public opinion.",,Faculty,"June 18, 2018 - June 22, 2018",University of Washington
Bernease Herman,"Bernease Herman is a data scientist and researcher at the University of Washington eScience Institute. Her research focuses on interpretable machine learning with work in fairness, accountability, and transparency. In her work, she collaborates with academic researchers, startups, and non-profits with applications of machine learning across domains. Bernease earned her BS in Mathematics and Statistics from the University of Michigan. She spends her time Olympic weightlifting, rowing, as well as hunting down simplified explanations and analogies for new concepts.",,Faculty,"June 18, 2018 - June 22, 2018",University of Washington
Anna Lauren Hoffmann,"Anna Lauren Hoffmann is an Assistant Professor with The Information School at the University of Washington. Her research is situated at the intersections of data, technology, culture, and ethics, with particular attention to the ways in which the design and use of information technology can promote or hinder the pursuit of important human values like respect and justice. Her work has appeared in various scholarly journals like New Media & Society, The Library Quarterly, First Monday, and JASIST. Her writing has also appeared in popular outlets, including The Guardian, Slate, and the Los Angeles Review of Books. You can find out more at annaeveryday.com or follow her on Twitter at @anneveryday.",,Speakers,"June 18, 2018 - June 22, 2018",University of Washington
Nina Cesare,"Nina Cesare holds a PhD in sociology from the University of Washington. She is currently a digital data researcher at the University of Washington's Institute for Health Metrics and Evaluation. Her work specializes in using statistical and machine learning approaches to leverage digital trace data as a means of answering social science questions. She has used digital data to explore a variety of topics, including health behaviors, inequality and mourning.",,Speakers,"June 18, 2018 - June 22, 2018",University of Washington
Chuck Lanfear,"Chuck is a graduate student in the Department of Sociology whose interests lie in the application of novel statistical and computational methods to questions at the intersection of criminology, sociology, and demography. His research agenda focuses on exploring the emergent properties of human social behaviors embedded in dynamic environments. For example, his current projects broadly examine how demographic and built environment characteristics of places influence social control and situational opportunity to determine the distribution of crime in time and place.",,Teaching Assistants,"June 18, 2018 - June 22, 2018",University of Washington
Didier Alia,"Didier Alia is a postdoctoral research associate at the Evans School of Public Policy and Governance at the University of Washington.  Didier is an agricultural economist with broad interests in rural and agricultural development. His research focus on technology adoption and household welfare, and the linkages between the non-farm economy and the transformation of rural spaces in developing countries. He holds a Ph.D. in Agricultural Economics from the University of Kentucky in 2017, a MSc in Statistics and Economics from ISSEA (Cameroon) and a MSc in Mathematics from the University of Abomey-Calavi (Benin).  He is aspiring to use innovative computational social science tools in analyzing economic development questions.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Daniel Anderson,"Daniel Anderson is a Research Assistant Professor in the College of Education at the University of Oregon. His research generally focuses on educational measurement and psychometrics, as well as evaluating differences in educational outcomes between schools (and sometimes classrooms within schools). He is particularly interested in how to best measure and evaluate the impact of features of the local community on these educational outcomes, specifically achievement gaps for marginalized groups.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Alina Arseniev-Koehler,"Alina is currently a graduate student at the University of California Los Angeles pursuing a PhD in Sociology. Substantively, her research interests include culture, cognitive sociology, language, and health and illness. Methodologically, she is interested in computational social science and machine-learning, with a focus on the computational analysis of language. Her Master’s research aimed to provide a cognitively plausible, computational account of the schemata activated by news reporting on obesity. Alina also enjoys learning and teaching new computational techniques and helps coordinate the Computational Sociology Working Group at UCLA.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Mike Babb,"Mike Babb is currently a Ph.D. candidate in the Department of Geography at the University of Washington. He is interested in the spatio-demographic variation in population processes such as mortality, segregation, and political representation with a particular focus on internal migration. Mr. Babb has over a decade of experience in working with GIS, large databases, and the statistical modeling and visualization of data. Mr. Babb has previously worked for the United States Census Bureau and several Seattle-based companies such as Zillow, Community Attributes, and Integral GIS. Most recently, he held research positions with the Center for Studies in Demography and Ecology and the e-Science Institute. Currently, he is an instructor in Cartography and GIS at the University of Washington.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
Kaylea Champion,"Kaylea Champion is a PhD student in Communication at the University of Washington, where she is affiliated with the Community Data Science Collective. Her current research concerns underproduction in online public goods (knowledge and software that people want and need, but which is not being created) and the engagement of marginalized and minoritized people in peer production. Her methods are primarily quantitative and tend to focus on digital trace data. She has a professional background in IT and education, a degree in Critical and Creative Thinking from UMass Boston, in Computer Science from the University of Chicago, and in Near Eastern Languages and Civilizations from the University of Chicago.",,Participants,"June 18, 2018 - June 22, 2018",University of Washington
