name,bio,photo_path,role,date,location
Julian Hohner,"Julian Hohner is a PhD candidate in Political Science at Bamberg University. He also works in the Management of the Bamberg Graduate School of Social Sciences and is particular interested in machine learning, quantitative text analysis, inferential statistics as well as populist, party and governmental behaviour studies. Moreover, Julian is participating as Teaching Assistant of the ECPR Winter/Summer Schools on a regular basis.",,Faculty,"July 28 - August 09, 2019",University of Bamberg
Thomas Saalfeld,"Thomas Saalfeld is Professor of Political Science at the University of Bamberg and Director of the Bamberg Graduate School of Social Sciences. Prior to joining Bamberg in 2009, he held research and teaching positions at the Universities of the German Federal Armed Forces Munich, Hull, Dresden, Kent and Bamberg. He was Member of the Council of the German Political Science Association from 2015 to 2016 and joined the Executive Committee of the European Consortium for Political Research (ECPR) in 2018. Since 2015 he has been the local organizer of the ECPR Winter School in Methods and Techniques. He has a particular interest in text-as-data applied to legislative studies.",,Faculty,"July 28 - August 09, 2019",University of Bamberg
Carsten Schwemmer,"Carsten Schwemmer is currently finishing a PhD in Sociology at Bamberg University, Germany. His research focuses on computational methods for the study of ethnic minorities and social media communication. Carsten is particularly interested in natural language processing, data mining and software development. He gave courses on computational social science at University of Bamberg, University of Constance and Humboldt University of Berlin.",,Faculty,"July 28 - August 09, 2019",University of Bamberg
Andreas Jungherr,"Andreas Jungherr is a Juniorprofessor (Assistant Professor) for Social Science Data Collection and Analysis at the University of Konstanz. He studies the impact of digital media on politics and society. He has worked on the uses of digital media and technology by publics, political actors, and organizations in international comparison. He also addresses challenges for scientific research in reaction to digital change in order to realize opportunities emerging from new data sources and analytical approaches. In this, he has focused on harnessing the potential of digital methods and computational social science while addressing methodological challenges in its integration into the social sciences. Depending on the object under study, he also uses traditional quantitative and qualitative empirical approaches. Currently, he is lead investigator of 'Communicative Power in Hybrid Media Systems', a project financed by the Volkswagen Stiftung (2017-2020). The interdisciplinary project, featuring computer and information scientists, focuses on the interconnection between political coverage in legacy, online media, and political talk on online platforms in Germany, UK, USA, and South Korea.",,Speakers,"July 28 - August 09, 2019",University of Bamberg
Fariba Karimi,"Fariba Karimi is a researcher at the Department of Computational Social Science at GESIS – Leibniz Institute for the Social Sciences. She received her PhD in Physics with specialization in network science. Her current research focuses on computational approaches for addressing societal challenges such as gender inequality, bias in algorithms and sampling hard-to-reach groups and minorities. Her main expertise is analyzing large-scale socio-technical systems using network theory and data analysis.",,Speakers,"July 28 - August 09, 2019",University of Bamberg
Ridhi Kashyap,"Ridhi Kashyap is associate professor of social demography and fellow of Nuffield College at the University of Oxford. She completed her DPhil in Sociology jointly affiliated with the University of Oxford and Max Planck Institute for Demographic Research. Her research spans a number of substantive areas in demography and sociology, including gender, mortality and health, the diversification of family forms, and ethnicity and migration. Her work has sought to adopt computational innovations both in terms of modelling approaches such as agent-based models and digital trace data from web and social media platforms to study social and demographic processes.  She is currently leading a Data2X and UN Foundation supported project that uses big data from the web, in particular large-scale online advertising data that provide information on the aggregate numbers of users of online platforms by demographic characteristics, to measure sustainable development and gender inequality indicators.",,Speakers,"July 28 - August 09, 2019",University of Bamberg
Oliver Posegga,"Oliver Posegga is an Assistant Professor at the Department of Information Systems and Social Networks at the University of Bamberg, an affiliate of the Center for Collective Intelligence at the MIT Sloan School of Management, and a principal investigator of the project 'Communicative Power in Hybrid Media Systems', funded by the Volkswagen Foundation. His research focuses on understanding the collective dynamics of digitally enabled networks, such as collective behavior and intelligence in organizational and societal settings, and touches a variety of topics, such as the dynamics of social networks, crisis management, crowdsourcing, data- and information quality, and discursive power in contemporary media systems.",,Speakers,"July 28 - August 09, 2019",University of Bamberg
Martijn Schoonvelde,"Martijn Schoonvelde is an Assistant Professor in Political Science at University College Dublin. Prior to that, he was a Postdoctoral Fellow at the Vrije Universiteit Amsterdam and the University of Exeter and a Max Weber Fellow at the European University Institute in Florence. In his work, he analyzes the rhetoric of politicians. Is this rhetoric driven by strategy, ideology or aspects of their personality? Do they shift blame to others when topics are sensitive with the public? And when do they use emotional appeals? More broadly, his interests include political communication, EU politics, computational social science, and text as data.",,Speakers,"July 28 - August 09, 2019",University of Bamberg
Milena Tsvetkova,"Milena Tsvetkova is Assistant Professor at the Department of Methodology at the London School of Economics and Political Science. Prior to that, she was Postdoctoral Researcher in Computational Social Science at the Oxford Internet Institute at the University of Oxford. She holds a PhD in Sociology from Cornell University, where she worked with Michael Macy. Her interests reside in the field of computational social science. In her research, she uses large-scale web-based social interaction experiments, network analysis of online data, and agent-based modeling to investigate fundamental social phenomena such as cooperation, social contagion, segregation, and inequality.",,Speakers,"July 28 - August 09, 2019",University of Bamberg
Jonas Reissmann,"Jonas Reissmann is a Master’s student in Survey Statistics at the University of Bamberg and holds a BA in Political Science from the same institution. He is particularly interested in R programming, quantitative modelling and the field of interest group research. Jonas has gained experience as a teaching assistant for statistics and R on various occasions both at the university and at the ECPR Winter School in Methods and Techniques.",,Teaching Assistants,"July 28 - August 09, 2019",University of Bamberg
