name,bio,photo_path,role,date,location
Ryan J. Gallagher,"Ryan J. Gallagher is a PhD student at Northeastern University. At the Network Science Institute, he researches the dynamics of social networks using tools and theory from natural language processing and communications. He currently studies the affective phenomena of networked counterpublics. Ryan holds an MS in mathematics from the University of Vermont, where he worked with the Computational Story Lab at the Vermont Complex Systems Center, and a BA in math from the University of Connecticut.",,Faculty,"June 16 - June 29, 2019",Massachusetts Institute of Technology
David Hagmann,"David is a Fellow at the Kennedy School of Government at Harvard University. He received his PhD from the Department of Social and Decision Sciences at Carnegie Mellon University. His research looks at the desire to avoid information that may be painful to learn yet improve decision-making, persuasion on politically charged topics, and behavioral policy interventions (nudges).",,Faculty,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Eaman Jahani,"Eaman Jahani is a graduate research assistant pursuing a PhD degree in Social and Engineering Systems with a minor in Statistics at MIT IDSS. Prior to MIT, he was a software engineer at Google for 4 years. His main training is in statistics and computer science, but recently he has been appreciating econometrics and modeling in applied economics. His past research examined the extent of bubbles vs truth-seeking in cryptocurrency markets and socio-economic prediction in social networks. His current research focuses on structural factors such as networks or institutions that regenerate inequality at a micro scale. Eaman spends too much time reading political commentaries.",,Faculty,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Yan Leng,"Yan is currently pursuing a Ph.D. at Human Dynamics group at MIT. She received dual masters in Computer Science and Transportation Engineering from MIT in 2016. Yan is interested in using a broad range of computational techniques to understand the network effect of social influence. In particular, she works on the inference, identification, and modeling of social influence and social learning with large-scale behavioral data in a networked environment. Besides, she also works on the combining network structure and personal attributes in maximizing cascading payoff.",,Faculty,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Sanaz Mobasseri,"Sanaz Mobasseri is an Assistant Professor of Organizational Behavior at Boston University’s Questrom School of Business. She received her PhD from the Management of Organizations Department at UC Berkeley's Haas School of Business. Her research examines the role of emotion, cognition, and culture in shaping social networks and labor market outcomes. Much of her work is situated in organizational settings, where she examine the microfoundations of workplace inequality. Although grounded in sociology and organizational theory, her work integrates theoretical insights from social psychology and sociolinguistics. Her research methods are similarly diverse, ranging from experimental studies in the lab to audit studies in the field to computational approaches applied to large archival data sets.",,Faculty,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Andrey Fradkin,"I am an economist who studies digitization and search and matching markets. I've written papers on topics such as the design of Airbnb’s search and matching algorithm, reputation systems, online job search, and 401(k) contribution choices by workers. I am currently an assistant professor of marketing at the Boston University Questrom School of Business. My research has been published in both economics journals (American Economic Review, The Review of Economics and Statistics) and computer science conferences (ACM-EC). I've provided expert input about the digital economy at the President’s Council on Science and Technology and the Federal Trade Commission. Prior to BU, I was a postdoc at the Initiative on the Digital Economy at MIT. I worked as a data scientist at Airbnb while completing a Ph.D. in Economics at Stanford University. In my free time, I climb, write, and make a podcast.",,Speakers,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Moshe Hoffman,"Moshe Hoffman is a Research Scientist at the MIT Media Lab Human Dynamics Group and Lecturer at Harvard's Department of Economics. Moshe applies game theory, models of learning and evolution, and experimental methods, to try to decipher the (often subconscious) motives that shape our social behavior, preferences, and ideologies. Together with Erez Yoeli, he co-designed and teaches  'Game Theory and Social Behavior' which lays out this approach. Moshe obtained his Ph.D. in Economics from the University of Chicago, Booth School of Business and his B.S. in Economics from the University of Chicago.",,Speakers,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Abigail Z. Jacobs,"Abigail Jacobs is an incoming Assistant Professor at the University of Michigan in the School of Information and in Complex Systems. Previously, she was a postdoc at the Haas School of Business at UC Berkeley, where she was also a member of the Algorithmic Fairness and Opacity Working Group. She holds a PhD in Computer Science from the University of Colorado Boulder, during which she spent several years at Microsoft Research NYC and received funding from the NSF Graduate Research Fellowship. She received a BA in Mathematical Methods in the Social Sciences and Mathematics from Northwestern University.",,Speakers,"June 16 - June 29, 2019",Massachusetts Institute of Technology
In Song Kim,"In Song Kim is an Associate Professor of Political Science. He holds a Ph.D. in Politics from Princeton University, where he received a Harold W. Dodds Fellowship for 2012-2013. His dissertation research on the effects of firms’ lobbying on trade policy-making received the 2015 Mancur Olson Award for the Best Dissertation in Political Economy. Professor Kim works at the intersection of statistical machine learning and political science. His research explores trade policies of various countries in the world on highly specific products, and political activities of firms that produce and trade goods internationally. He is also interested in developing statistical methods for causal inference with panel data, and text analysis for analyzing political documents.",,Speakers,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Mohsen Mosleh,"I am a research scientist at MIT Sloan School of Management. My work lies at the intersection of computational and social sciences. My interest includes misinformation, social media, social networks, and cooperation. In particular, I study how our cognition relates to our behavior on online social media. I use theoretical models based on (evolutionary) Game Theory, Network Science, and empirical (data-driven) models based on Machine Learning, Natural Language Processing, and Online Experiments. Prior to joining MIT, I was a postdoctoral researcher at Department of Psychology at Yale. I received my PhD in Engineering with a minor in Business Intelligence and Analytics, my Masters in Management, and my undergraduate in Engineering. I also worked as a Systems and Software Integration Lead for five years prior to starting my PhD.",,Speakers,"June 16 - June 29, 2019",Massachusetts Institute of Technology
Laura K. Nelson,"Laura K. Nelson is a sociologist who uses computational methods to study social movements, culture, gender, institutions, and the history of feminism. Using computer-assisted texts analysis and network analysis, her dissertation examined the political logics underlying women’s movements in New York City and Chicago from 1865-1975. She is interested in further developing automated text analysis methods and best-practices for sociology and digital humanities. She received her Ph.D. in sociology from the University of California, Berkeley. In 2014-2016 she was a postdoc in Management and Organizations in the Kellogg School of Management at Northwestern University, and is on leave this year as a fellow for Digital Humanities @ Berkeley and the Berkeley Institute for Data Science at the University of California, Berkeley.",,Speakers,"June 16 - June 29, 2019",Massachusetts Institute of Technology
